Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_practice_fx_interior.started,enc_practice_fx_interior.stopped,enc_practice_fx_cross.started,enc_practice_fx_cross.stopped,enc_practice_fx_key.keys,enc_practice_fx_key.started,enc_practice_fx_key.stopped,enc_practice_trial_interior.started,enc_practice_trial_interior.stopped,enc_practice_trial_main_image.started,enc_practice_trial_main_image.stopped,enc_practice_trial_key.keys,enc_practice_trial_key.started,enc_practice_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_practice_trial_key.rt,enc_practice_fx_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,trigger,Azonosító kód,Nem,Csoport,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,21.495089199997892,None,22.932318499999383,None,22.932318499999383,None,d,47.369899799999985,27.89882619999844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1935,TerKepEsz-Encoding_MR,2020.1.3,60.0075489486331,
,,,,,,,,,,,,,,,,,,,,,,,,,,,27.89882619999844,None,75.29771079999773,None,75.29771079999773,None,d,0.08342550000088522,80.28090229999725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1935,TerKepEsz-Encoding_MR,2020.1.3,60.0075489486331,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.28090229999725,None,80.38089799999943,None,d,0.4003273000016634,85.36412289999862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1935,TerKepEsz-Encoding_MR,2020.1.3,60.0075489486331,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.36412289999862,None,85.78082539999741,None,86.81410229999892,None,86.81410229999892,None,None,86.81410229999892,None,88.34700389999853,None,88.34700389999853,None,None,88.34700389999853,None,91.36360069999864,None,91.36360069999864,None,91.36360069999864,None,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1935,TerKepEsz-Encoding_MR,2020.1.3,60.0075489486331,
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,0.2344,0.4167,500,Encoding,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.33023499999763,None,92.33023499999763,None,None,92.33023499999763,None,92.84693999999945,None,92.84693999999945,None,b,92.84693999999945,None,95.84682919999977,None,95.84682919999977,None,95.84682919999977,None,0.7976932999990822,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1935,TerKepEsz-Encoding_MR,2020.1.3,60.0075489486331,
EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,0.2344,-0.1389,1000,Encoding,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.84686469999724,None,96.84686469999724,None,None,96.84686469999724,None,97.84677720000036,None,97.84677720000036,None,b,97.84677720000036,None,100.84670659999756,None,100.84670659999756,None,100.84670659999756,None,0.5417686000000685,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1935,TerKepEsz-Encoding_MR,2020.1.3,60.0075489486331,
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,0.2344,-0.1389,1000,Encoding,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.84667959999933,None,101.84667959999933,None,None,101.84667959999933,None,102.8466520999973,None,102.8466520999973,None,b,102.8466520999973,None,105.86325319999742,None,105.86325319999742,None,105.86325319999742,None,0.6136503000016091,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1935,TerKepEsz-Encoding_MR,2020.1.3,60.0075489486331,
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-0.3906,0.4167,5000,Encoding,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.86322010000004,None,106.86322010000004,None,c,106.86322010000004,None,111.89645349999773,None,111.89645349999773,None,c,111.89645349999773,None,114.89636690000043,None,114.89636690000043,None,114.89636690000043,None,0.4279497999996238,2.901116400000319,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1935,TerKepEsz-Encoding_MR,2020.1.3,60.0075489486331,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-0.3906,0.4167,800,Encoding,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.87968249999903,None,115.87968249999903,None,None,115.87968249999903,None,116.69632869999987,None,116.69632869999987,None,c,116.69632869999987,None,119.71291410000049,None,119.71291410000049,None,119.71291410000049,None,0.7800997000013012,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1935,TerKepEsz-Encoding_MR,2020.1.3,60.0075489486331,
EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-0.0781,-0.1389,3000,Encoding,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.69622249999884,None,120.69622249999884,None,b,120.69622249999884,None,123.71281819999786,None,123.71281819999786,None,b,123.71281819999786,None,126.72942239999975,None,126.72942239999975,None,126.72942239999975,None,1.8594666000026336,2.9320861999985937,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1935,TerKepEsz-Encoding_MR,2020.1.3,60.0075489486331,
