TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1,OLP,1,3,1,,,,300,0,274.0636373,-122.0209929,280.0741279,107.5103849,-298.3565686,-31.35853898
2,OLP,1,3,1,,,,299.5888604,15.70078687,251.6011704,163.3917105,233.1437884,-188.7961173,-299.5888604,-15.70078687
3,LLP,1,5,1,,,,298.3565686,31.35853898,188.7961173,-233.1437884,200.7391819,222.9434476,-298.3565686,-31.35853898
4,ERP,1,2,1,,,,296.3065022,46.93033951,293.4442802,-62.37350725,298.3565686,-31.35853898,-293.4442802,-62.37350725
5,OLP,2,0,1,,,,300,0,274.0636373,-122.0209929,280.0741279,107.5103849,-298.3565686,-31.35853898
6,OLP,2,0,1,,,,299.5888604,15.70078687,251.6011704,163.3917105,233.1437884,-188.7961173,-299.5888604,-15.70078687
7,ERP,2,0,1,,,,296.3065022,46.93033951,293.4442802,-62.37350725,298.3565686,-31.35853898,-293.4442802,-62.37350725
8,ERP,1,5,1,,,,293.4442802,62.37350725,222.9434476,200.7391819,267.3019573,-136.1971499,-289.7777479,-77.64571353
9,LLP,2,0,1,,,,298.3565686,31.35853898,188.7961173,-233.1437884,200.7391819,222.9434476,-298.3565686,-31.35853898
10,LLP,1,4,1,,,,289.7777479,77.64571353,176.3355757,242.7050983,259.8076211,150,-293.4442802,-62.37350725
11,ERP,1,1,1,,,,285.3169549,92.70509831,289.7777479,-77.64571353,233.1437884,188.7961173,-289.7777479,-77.64571353
12,OLP,1,4,1,,,,280.0741279,107.5103849,242.7050983,-176.3355757,299.5888604,15.70078687,-280.0741279,-107.5103849
13,ERP,2,0,1,,,,285.3169549,92.70509831,289.7777479,-77.64571353,233.1437884,188.7961173,-289.7777479,-77.64571353
14,ERP,2,0,1,,,,293.4442802,62.37350725,222.9434476,200.7391819,267.3019573,-136.1971499,-289.7777479,-77.64571353
15,LLP,2,0,1,,,,289.7777479,77.64571353,176.3355757,242.7050983,259.8076211,150,-293.4442802,-62.37350725
16,LLP,1,2,1,,,,274.0636373,122.0209929,300,0,285.3169549,-92.70509831,-259.8076211,-150
17,OLP,2,0,1,,,,280.0741279,107.5103849,242.7050983,-176.3355757,299.5888604,15.70078687,-280.0741279,-107.5103849
18,OLP,1,1,1,,,,267.3019573,136.1971499,122.0209929,274.0636373,77.64571353,289.7777479,-251.6011704,-163.3917105
19,LLP,2,0,1,,,,274.0636373,122.0209929,300,0,285.3169549,-92.70509831,-259.8076211,-150
20,OLP,2,0,1,,,,267.3019573,136.1971499,122.0209929,274.0636373,77.64571353,289.7777479,-251.6011704,-163.3917105
21,BL,0,0,1,,,,259.8076211,150,,,,,,
22,ERP,1,3,1,,,,259.8076211,150,285.3169549,-92.70509831,259.8076211,-150,-251.6011704,-163.3917105
23,LLP,1,5,1,,,,251.6011704,163.3917105,150,259.8076211,299.5888604,-15.70078687,-251.6011704,-163.3917105
24,ERP,1,2,1,,,,242.7050983,176.3355757,92.70509831,285.3169549,107.5103849,280.0741279,-222.9434476,-200.7391819
25,ERP,1,5,1,,,,233.1437884,188.7961173,280.0741279,107.5103849,298.3565686,-31.35853898,-251.6011704,-163.3917105
26,ERP,2,0,1,,,,259.8076211,150,285.3169549,-92.70509831,259.8076211,-150,-251.6011704,-163.3917105
27,ERP,2,0,1,,,,242.7050983,176.3355757,92.70509831,285.3169549,107.5103849,280.0741279,-222.9434476,-200.7391819
28,OLP,1,3,1,,,,222.9434476,200.7391819,285.3169549,92.70509831,285.3169549,-92.70509831,-242.7050983,-176.3355757
29,LLP,2,0,1,,,,251.6011704,163.3917105,150,259.8076211,299.5888604,-15.70078687,-251.6011704,-163.3917105
30,OLP,1,2,1,,,,212.1320344,212.1320344,-77.64571353,289.7777479,296.3065022,-46.93033951,-233.1437884,-188.7961173
31,ERP,2,0,1,,,,233.1437884,188.7961173,280.0741279,107.5103849,298.3565686,-31.35853898,-251.6011704,-163.3917105
32,OLP,2,0,1,,,,222.9434476,200.7391819,285.3169549,92.70509831,285.3169549,-92.70509831,-242.7050983,-176.3355757
33,OLP,2,0,1,,,,212.1320344,212.1320344,-77.64571353,289.7777479,296.3065022,-46.93033951,-233.1437884,-188.7961173
34,ERP,1,4,1,,,,200.7391819,222.9434476,300,0,92.70509831,285.3169549,-176.3355757,-242.7050983
35,OLP,1,1,1,,,,188.7961173,233.1437884,-92.70509831,285.3169549,274.0636373,122.0209929,-188.7961173,-233.1437884
36,LLP,1,4,1,,,,176.3355757,242.7050983,274.0636373,122.0209929,296.3065022,46.93033951,-200.7391819,-222.9434476
37,OLP,2,0,1,,,,188.7961173,233.1437884,-92.70509831,285.3169549,274.0636373,122.0209929,-188.7961173,-233.1437884
38,LLP,1,1,1,,,,163.3917105,251.6011704,-107.5103849,280.0741279,300,0,-163.3917105,-251.6011704
39,ERP,2,0,1,,,,200.7391819,222.9434476,300,0,92.70509831,285.3169549,-176.3355757,-242.7050983
40,LLP,2,0,1,,,,163.3917105,251.6011704,-107.5103849,280.0741279,300,0,-163.3917105,-251.6011704
41,LLP,2,0,1,,,,176.3355757,242.7050983,274.0636373,122.0209929,296.3065022,46.93033951,-200.7391819,-222.9434476
42,BL,0,0,1,,,,259.8076211,150,,,,,,
43,OLP,1,2,1,,,,150,259.8076211,1.84E-14,300,280.0741279,107.5103849,-136.1971499,-267.3019573
44,OLP,1,5,1,,,,136.1971499,267.3019573,-62.37350725,293.4442802,-77.64571353,289.7777479,-136.1971499,-267.3019573
45,ERP,1,5,1,,,,122.0209929,274.0636373,242.7050983,176.3355757,-92.70509831,285.3169549,-122.0209929,-274.0636373
46,OLP,2,0,1,,,,150,259.8076211,1.84E-14,300,280.0741279,107.5103849,-136.1971499,-267.3019573
47,LLP,1,1,1,,,,107.5103849,280.0741279,274.0636373,122.0209929,-92.70509831,285.3169549,-77.64571353,-289.7777479
48,ERP,1,3,1,,,,92.70509831,285.3169549,-46.93033951,296.3065022,-200.7391819,222.9434476,-77.64571353,-289.7777479
49,LLP,2,0,1,,,,107.5103849,280.0741279,274.0636373,122.0209929,-92.70509831,285.3169549,-77.64571353,-289.7777479
50,OLP,2,0,1,,,,136.1971499,267.3019573,-62.37350725,293.4442802,-77.64571353,289.7777479,-136.1971499,-267.3019573
51,ERP,2,0,1,,,,122.0209929,274.0636373,242.7050983,176.3355757,-92.70509831,285.3169549,-122.0209929,-274.0636373
52,ERP,2,0,1,,,,92.70509831,285.3169549,-46.93033951,296.3065022,-200.7391819,222.9434476,-77.64571353,-289.7777479
53,OLP,1,1,1,,,,77.64571353,289.7777479,-77.64571353,289.7777479,-15.70078687,299.5888604,-107.5103849,-280.0741279
54,OLP,1,4,1,,,,62.37350725,293.4442802,233.1437884,188.7961173,267.3019573,136.1971499,-77.64571353,-289.7777479
55,OLP,2,0,1,,,,77.64571353,289.7777479,-77.64571353,289.7777479,-15.70078687,299.5888604,-107.5103849,-280.0741279
56,LLP,1,4,1,,,,46.93033951,296.3065022,-31.35853898,298.3565686,122.0209929,274.0636373,-15.70078687,-299.5888604
57,ERP,1,2,1,,,,31.35853898,298.3565686,150,259.8076211,-163.3917105,251.6011704,-5.51E-14,-300
58,ERP,1,3,1,,,,15.70078687,299.5888604,122.0209929,274.0636373,-92.70509831,285.3169549,-5.51E-14,-300
59,OLP,2,0,1,,,,62.37350725,293.4442802,233.1437884,188.7961173,267.3019573,136.1971499,-77.64571353,-289.7777479
60,ERP,2,0,1,,,,31.35853898,298.3565686,150,259.8076211,-163.3917105,251.6011704,-5.51E-14,-300
61,LLP,2,0,1,,,,46.93033951,296.3065022,-31.35853898,298.3565686,122.0209929,274.0636373,-15.70078687,-299.5888604
62,ERP,2,0,1,,,,15.70078687,299.5888604,122.0209929,274.0636373,-92.70509831,285.3169549,-5.51E-14,-300
63,BL,0,0,1,,,,259.8076211,150,,,,,,
64,OLP,1,1,1,,,,1.84E-14,300,122.0209929,274.0636373,242.7050983,176.3355757,-5.51E-14,-300
65,OLP,1,1,1,,,,-15.70078687,299.5888604,176.3355757,242.7050983,-259.8076211,150,46.93033951,-296.3065022
66,OLP,2,0,1,,,,1.84E-14,300,122.0209929,274.0636373,242.7050983,176.3355757,-5.51E-14,-300
67,OLP,2,0,1,,,,-15.70078687,299.5888604,176.3355757,242.7050983,-259.8076211,150,46.93033951,-296.3065022
68,OLP,1,4,1,,,,-31.35853898,298.3565686,122.0209929,274.0636373,122.0209929,274.0636373,-5.51E-14,-300
69,LLP,1,2,1,,,,-46.93033951,296.3065022,-267.3019573,136.1971499,107.5103849,280.0741279,31.35853898,-298.3565686
70,OLP,1,3,1,,,,-62.37350725,293.4442802,176.3355757,242.7050983,212.1320344,212.1320344,46.93033951,-296.3065022
71,ERP,1,5,1,,,,-77.64571353,289.7777479,-176.3355757,242.7050983,-163.3917105,251.6011704,62.37350725,-293.4442802
72,LLP,2,0,1,,,,-46.93033951,296.3065022,-267.3019573,136.1971499,107.5103849,280.0741279,31.35853898,-298.3565686
73,OLP,2,0,1,,,,-31.35853898,298.3565686,122.0209929,274.0636373,122.0209929,274.0636373,-5.51E-14,-300
74,OLP,2,0,1,,,,-62.37350725,293.4442802,176.3355757,242.7050983,212.1320344,212.1320344,46.93033951,-296.3065022
75,LLP,1,5,1,,,,-92.70509831,285.3169549,62.37350725,293.4442802,-251.6011704,163.3917105,62.37350725,-293.4442802
76,OLP,1,3,1,,,,-107.5103849,280.0741279,92.70509831,285.3169549,-31.35853898,298.3565686,122.0209929,-274.0636373
77,ERP,2,0,1,,,,-77.64571353,289.7777479,-176.3355757,242.7050983,-163.3917105,251.6011704,62.37350725,-293.4442802
78,OLP,1,4,1,,,,-122.0209929,274.0636373,-200.7391819,222.9434476,-285.3169549,92.70509831,150,-259.8076211
79,ERP,1,2,1,,,,-136.1971499,267.3019573,31.35853898,298.3565686,-62.37350725,293.4442802,107.5103849,-280.0741279
80,OLP,2,0,1,,,,-107.5103849,280.0741279,92.70509831,285.3169549,-31.35853898,298.3565686,122.0209929,-274.0636373
81,LLP,2,0,1,,,,-92.70509831,285.3169549,62.37350725,293.4442802,-251.6011704,163.3917105,62.37350725,-293.4442802
82,ERP,2,0,1,,,,-136.1971499,267.3019573,31.35853898,298.3565686,-62.37350725,293.4442802,107.5103849,-280.0741279
83,OLP,2,0,1,,,,-122.0209929,274.0636373,-200.7391819,222.9434476,-285.3169549,92.70509831,150,-259.8076211
84,BL,0,0,1,,,,259.8076211,150,,,,,,
85,LLP,1,1,2,,,,-150,259.8076211,-77.64571353,289.7777479,122.0209929,274.0636373,150,-259.8076211
86,OLP,1,2,2,,,,-163.3917105,251.6011704,122.0209929,274.0636373,15.70078687,299.5888604,176.3355757,-242.7050983
87,LLP,2,0,2,,,,-150,259.8076211,-77.64571353,289.7777479,122.0209929,274.0636373,150,-259.8076211
88,OLP,1,1,2,,,,-176.3355757,242.7050983,-251.6011704,163.3917105,-267.3019573,136.1971499,200.7391819,-222.9434476
89,OLP,2,0,2,,,,-163.3917105,251.6011704,122.0209929,274.0636373,15.70078687,299.5888604,176.3355757,-242.7050983
90,OLP,2,0,2,,,,-176.3355757,242.7050983,-251.6011704,163.3917105,-267.3019573,136.1971499,200.7391819,-222.9434476
91,ERP,1,3,2,,,,-188.7961173,233.1437884,-242.7050983,176.3355757,-274.0636373,122.0209929,212.1320344,-212.1320344
92,ERP,1,3,2,,,,-200.7391819,222.9434476,-122.0209929,274.0636373,-296.3065022,-46.93033951,188.7961173,-233.1437884
93,OLP,1,5,2,,,,-212.1320344,212.1320344,-300,3.67E-14,15.70078687,299.5888604,222.9434476,-200.7391819
94,LLP,1,5,2,,,,-222.9434476,200.7391819,-267.3019573,136.1971499,-274.0636373,122.0209929,242.7050983,-176.3355757
95,ERP,2,0,2,,,,-188.7961173,233.1437884,-242.7050983,176.3355757,-274.0636373,122.0209929,212.1320344,-212.1320344
96,ERP,2,0,2,,,,-200.7391819,222.9434476,-122.0209929,274.0636373,-296.3065022,-46.93033951,188.7961173,-233.1437884
