TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1,2000,1,1,OBJ,ERP,1,6,stimuli/fractals/139a.jpg,0.155483435867518,0.334955269950869,stimuli/fractals/139a.jpg,stimuli/fractals/139b.jpg,stimuli/fractals/139c.jpg,0.155483435867518,0.334955269950869,0.144531155801736,-0.0840697288756601,-0.0378372010326291,0.0101427135115148,-0.303372447371041,-0.365104703640023
2,3000,1,1,OBJ,OLP,1,3,stimuli/fractals/23b.jpg,-0.0844531741447629,-0.0928396776424439,stimuli/fractals/23b.jpg,stimuli/fractals/23c.jpg,stimuli/fractals/23a.jpg,-0.0844531741447629,-0.0928396776424439,-0.172532772930868,-0.328107485442415,-0.238051546029152,-0.387330977037108,0.383764906114963,0.373774641480543
3,2000,1,1,OBJ,OLP,1,3,stimuli/fractals/86a.jpg,-0.0512696998232874,-0.37719898093144,stimuli/fractals/86a.jpg,stimuli/fractals/86b.jpg,stimuli/fractals/86c.jpg,-0.0512696998232874,-0.37719898093144,-0.35660572118709,-0.365232557723675,-0.222602922106916,-0.209193363975602,0.359534545686271,0.0241589077989217
4,3000,1,1,OBJ,ERP,1,6,stimuli/fractals/104b.jpg,-0.154918638801504,0.107506234956835,stimuli/fractals/104b.jpg,stimuli/fractals/104a.jpg,stimuli/fractals/104c.jpg,-0.154918638801504,0.107506234956835,-0.349052802887757,0.243526471402187,-0.182263478661043,-0.364249554323941,0.36698904304498,0.0579806601785497
5,1000,1,1,OBJ,OLP,1,6,stimuli/fractals/168c.jpg,0.155483435867518,0.334955269950869,stimuli/fractals/168c.jpg,stimuli/fractals/168a.jpg,stimuli/fractals/168b.jpg,0.155483435867518,0.334955269950869,0.144531155801736,-0.0840697288756601,-0.0378372010326291,0.0101427135115148,-0.303372447371041,-0.365104703640023
6,1000,1,1,OBJ,OLP,2,0,stimuli/fractals/23c.jpg,-0.0512696998232874,-0.37719898093144,stimuli/fractals/23b.jpg,stimuli/fractals/23c.jpg,stimuli/fractals/23a.jpg,-0.0512696998232874,-0.37719898093144,-0.35660572118709,-0.365232557723675,-0.222602922106916,-0.209193363975602,0.359534545686271,0.0241589077989217
7,1000,1,1,OBJ,OLP,2,0,stimuli/fractals/86b.jpg,-0.154918638801504,0.107506234956835,stimuli/fractals/86a.jpg,stimuli/fractals/86b.jpg,stimuli/fractals/86c.jpg,-0.154918638801504,0.107506234956835,-0.349052802887757,0.243526471402187,-0.182263478661043,-0.364249554323941,0.36698904304498,0.0579806601785497
8,3000,1,1,OBJ,ERP,2,0,stimuli/fractals/139a.jpg,-0.0844531741447629,-0.0928396776424439,stimuli/fractals/139a.jpg,stimuli/fractals/139b.jpg,stimuli/fractals/139c.jpg,-0.0844531741447629,-0.0928396776424439,-0.172532772930868,-0.328107485442415,-0.238051546029152,-0.387330977037108,0.383764906114963,0.373774641480543
9,1000,1,1,OBJ,OLP,1,3,stimuli/fractals/113a.jpg,0.353442511111568,0.224679053215688,stimuli/fractals/113a.jpg,stimuli/fractals/113c.jpg,stimuli/fractals/113b.jpg,0.353442511111568,0.224679053215688,0.209308974815136,-0.136557893877213,0.068048359551638,-0.178303824305349,-0.300655335269066,-0.0992101523110484
10,2000,1,1,OBJ,ERP,1,5,stimuli/fractals/67a.jpg,-0.331779931861861,-0.255149576667483,stimuli/fractals/67a.jpg,stimuli/fractals/67b.jpg,stimuli/fractals/67c.jpg,-0.331779931861861,-0.255149576667483,-0.265521314081694,0.207050951566227,-0.336773169780619,0.20667847618931,0.294526367626629,0.349974642262707
11,1000,1,1,OBJ,ERP,2,0,stimuli/fractals/104b.jpg,-0.00658191020043096,-0.294085563919891,stimuli/fractals/104b.jpg,stimuli/fractals/104a.jpg,stimuli/fractals/104c.jpg,-0.00658191020043096,-0.294085563919891,0.31257441368022,-0.26485886412081,-0.0994109280660388,-0.0210203380479418,-0.314778580890593,0.299170137849715
12,2000,1,1,OBJ,OLP,2,0,stimuli/fractals/168a.jpg,-0.331779931861861,-0.255149576667483,stimuli/fractals/168c.jpg,stimuli/fractals/168a.jpg,stimuli/fractals/168b.jpg,-0.331779931861861,-0.255149576667483,-0.265521314081694,0.207050951566227,-0.336773169780619,0.20667847618931,0.294526367626629,0.349974642262707
13,6000,1,1,OBJ,OLP,2,0,stimuli/fractals/113c.jpg,-0.208783714710444,-0.273959008209647,stimuli/fractals/113a.jpg,stimuli/fractals/113c.jpg,stimuli/fractals/113b.jpg,-0.208783714710444,-0.273959008209647,-0.327286581301915,0.154594881284472,-0.0645331167779869,-0.165084575909765,0.339984279867564,0.148650933813561
14,2000,1,1,OBJ,ERP,1,6,stimuli/fractals/68b.jpg,0.353442511111568,0.224679053215688,stimuli/fractals/68b.jpg,stimuli/fractals/68c.jpg,stimuli/fractals/68a.jpg,0.353442511111568,0.224679053215688,0.209308974815136,-0.136557893877213,0.068048359551638,-0.178303824305349,-0.300655335269066,-0.0992101523110484
15,3000,1,1,OBJ,OLP,1,1,stimuli/fractals/34b.jpg,-0.113669500173048,-0.230326717051996,stimuli/fractals/34b.jpg,stimuli/fractals/34a.jpg,stimuli/fractals/34c.jpg,-0.113669500173048,-0.230326717051996,0.0550690738096844,0.208958803575179,0.0492164095411617,0.149451740753664,0.366892700922927,-0.408188092091777
16,2000,1,1,OBJ,ERP,2,0,stimuli/fractals/67a.jpg,0.243127107197411,0.125124294917053,stimuli/fractals/67a.jpg,stimuli/fractals/67b.jpg,stimuli/fractals/67c.jpg,0.243127107197411,0.125124294917053,0.0906209816670514,-0.337039321701893,0.220390984373231,-0.155509845078801,-0.201446730335957,0.364607249282773
17,2000,1,1,OBJ,OLP,2,0,stimuli/fractals/34a.jpg,-0.208783714710444,-0.273959008209647,stimuli/fractals/34b.jpg,stimuli/fractals/34a.jpg,stimuli/fractals/34c.jpg,-0.208783714710444,-0.273959008209647,-0.327286581301915,0.154594881284472,-0.0645331167779869,-0.165084575909765,0.339984279867564,0.148650933813561
18,2000,1,1,OBJ,OLP,1,3,stimuli/fractals/143c.jpg,-0.00658191020043096,-0.294085563919891,stimuli/fractals/143c.jpg,stimuli/fractals/143a.jpg,stimuli/fractals/143b.jpg,-0.00658191020043096,-0.294085563919891,0.31257441368022,-0.26485886412081,-0.0994109280660388,-0.0210203380479418,-0.314778580890593,0.299170137849715
